Annotee-Identifier	Human-Readable-Description
OG0014074	extracellular matrix protein fras
OG0012610	germinal center associated signaling and motility protein
OG0012564	c motif chemokine
OG0002076	e3 ubiquitin protein ligase trim
OG0005400	cathepsin b cysteine proteinase
OG0007310	ctage family member
OG0004988	mediator of rna polymerase ii transcription subunit
OG0014363	unknown sequence family
OG0006782	adenylate cyclase type
OG0009533	histone lysine n methyltransferase h3 specific
OG0009006	ocia domain containing protein
OG0011495	alpha tubulin n acetyltransferase
OG0002131	nascent polypeptide associated complex subunit alpha protein
OG0008456	coiled coil domain containing protein
OG0005936	hmg domain containing protein
OG0012295	cingulin protein
OG0000377	olfactory receptor protein
OG0008097	cholesterol side chain cleavage enzyme mitochondrial
OG0002902	g protein coupled receptor kinase
OG0014405	heterogeneous nuclear ribonucleoprotein d
OG0013218	ankyrin repeat and socs box protein
OG0011701	aquaporin
OG0012317	organic solute transporter subunit beta
OG0002759	dual specificity protein phosphatase
OG0009106	alpha sarcoglycan
OG0010126	seipin
OG0008239	f box only protein
OG0009588	n 4 beta acetylglucosaminyl l asparaginase
OG0000829	membrane progestin receptor
OG0009900	sulfate transporter
OG0009008	dcn protein
OG0004926	nedd conjugating enzyme ubc
OG0014115	c type lectin domain family member d
OG0007893	vacuolar protein sorting associated
OG0004056	udp galactose n acetylglucosamine transporter
OG0012899	d lactate dehydrogenase [cytochrome] 1 mitochondrial
OG0012117	golgi resident adenosine 3 5 bisphosphate phosphatase
OG0012316	ras protein family member
OG0014853	claudin protein
OG0007499	tubulin epsilon and delta complex protein
OG0001654	phospholipid phosphatase protein type
OG0013945	carboxypeptidase b
OG0003632	coiled coil helix domain containing protein
OG0001919	cerebral cavernous malformations protein
OG0003809	fibroblast growth factor
OG0014040	transmembrane protein
OG0007288	epimerase family protein sdr39u1
OG0011302	vasopressin neurophysin 2 copeptin
OG0002572	olfactory receptor
OG0000376	small ubiquitin modifier 1
OG0003660	sororin
OG0006555	eukaryotic translation initiation factor 4h
OG0011407	zinc finger protein
OG0014705	potassium channel subfamily k member
OG0005615	membrane protein
OG0010581	shiftless antiviral inhibitor of ribosomal frameshifting protein
OG0011021	carbohydrate sulfotransferase
OG0007137	histone lysine n methyltransferase h3 specific
OG0013811	mitoregulin
OG0001554	t cell surface glycoprotein cd chain
OG0000270	serine threonine protein kinase a
OG0004805	myc target protein
OG0011935	t cell leukemia homeobox protein
OG0014159	transmembrane protein
OG0012949	bifunctional serine threonine protein kinase e3 ubiquitin ligase
OG0011927	ribonuclease p protein subunit
OG0003179	cation channel sperm associated protein subunit gamma
OG0009915	sulfate transporter
OG0004893	zinc finger protein gli
OG0009108	ankyrin repeat and socs box protein
OG0006125	alpha crystallin b chain
OG0003387	mitochondrial 2 carrier
OG0000836	oxysterol binding protein
OG0005343	soluble lamin associated protein of kda
OG0008401	protein fam170a
OG0000984	formin binding protein
OG0014387	unknown sequence family
OG0013805	ras protein rab 4a
OG0014252	unknown sequence family
OG0014524	rna binding protein
OG0009535	phospholipase ddhd
OG0003640	nuclear receptor ror alpha
OG0007512	leucine rich repeat and containing protein
OG0012081	bifunctional monothiol glutaredoxin
OG0000235	heterogeneous nuclear ribonucleoprotein a1 a2 b1
OG0008824	hypoxia inducible factor 1 alpha
OG0013302	leukocyte immunoglobulin receptor subfamily b member
OG0002564	transcription initiation factor tfiid subunit
OG0000763	histone h2a
OG0003162	protein arginine n methyltransferase 1
OG0010883	l malyl coa beta methylmalyl lyase
OG0004658	asparagine synthetase domain containing protein
OG0003487	bet
OG0004989	proline rich akt substrate
OG0006829	coiled coil domain containing protein
OG0011366	phospholipid transporting atpase 12
OG0014234	btb poz domain containing protein 6
OG0002536	sodium channel regulatory subunit beta
OG0014318	v type proton atpase subunit g
OG0001946	5 amp activated protein kinase subunit beta
OG0012166	deubiquitinase otud6b
OG0008375	a disintegrin and metalloproteinase with thrombospondin motifs
OG0006417	unknown sequence family
OG0014726	pdz domain containing protein gipc
OG0004848	microtubule cross linking factor
OG0015449	protein translation factor
OG0000324	transforming growth factor beta proprotein
OG0000357	polyadenylate binding protein 1
OG0005594	nipa protein
OG0004244	telomerase reverse transcriptase
OG0000635	small ribosomal subunit protein es
OG0011673	leucine rich repeat containing protein 74b
OG0001951	transcription factor sox
OG0009415	tryptophan 2 3 dioxygenase
OG0009619	kinase d interacting substrate of kda
OG0001583	protein mago nashi
OG0010240	myod family inhibitor domain containing protein
OG0001774	potassium channel subfamily t member
OG0001025	cyclin dependent kinase 1
OG0001002	homeobox protein hox a5
OG0003686	wd repeat containing protein 82
OG0005958	transmembrane protein
OG0009611	transmembrane protein
OG0011808	endoplasmic reticulum golgi intermediate compartment protein
OG0010944	cysteine serine rich nuclear protein
OG0015153	cytochrome c oxidase subunit mitochondrial
OG0003343	gtpase activating protein and vps domain containing
OG0003465	ska complex subunit
OG0007712	unconventional myosin x
OG0002181	carbohydrate sulfotransferase
OG0003679	sodium and chloride dependent transporter
OG0007934	phostensin
OG0009102	rna binding protein
OG0003069	fxyd domain containing ion transport regulator
OG0001194	phospholipid phosphatase protein type
OG0011577	ras protein rab 1b
OG0001765	flotillin protein
OG0013700	rabphilin
OG0007113	transitional endoplasmic reticulum atpase
OG0001682	protein fam163b
OG0009172	leucine rich repeat neuronal protein
OG0005855	peptidyl prolyl cis trans isomerase
OG0005953	potassium sodium hyperpolarization activated cyclic nucleotide gated channel
OG0013926	mucin
OG0001174	transmembrane protein
OG0012424	chaperone protein dnaj
OG0007210	ras protein rab
OG0008617	arginase
OG0006693	exportin
OG0001045	killer cell lectin receptor subfamily b member 1b allele
OG0001342	alpha crystallin chain
OG0007223	phd finger protein alfin
OG0003236	epithelial stromal interaction protein
OG0006933	gpi anchor transamidase
OG0002353	e3 ubiquitin protein ligase
OG0000913	ras protein rab 7a
OG0003931	dynein axonemal assembly factor
OG0001371	peptidyl prolyl cis trans isomerase
OG0005466	transmembrane and coiled coil domain containing protein
OG0000949	protein fam171a1
OG0013636	stannin
OG0008779	meiosis specific protein mei
OG0008809	ras gtp binding protein
OG0001087	t lymphocyte activation antigen cd
OG0004297	melanocortin receptor
OG0008519	rich wd repeat containing protein
OG0002483	diphosphoinositol polyphosphate phosphohydrolase 3
OG0007947	epididymal specific lipocalin
OG0005131	syncollin
OG0011039	1 phosphatidylinositol 4 5 bisphosphate phosphodiesterase
OG0000008	disks large
OG0007706	serine threonine protein kinase wnk
OG0004913	sushi domain containing protein
OG0013076	ubiquitin fold modifier conjugating enzyme
OG0010506	bone marrow stromal antigen
OG0006365	transmembrane protein
OG0008200	tbc domain family member
OG0009828	acidic leucine rich nuclear phosphoprotein family member
OG0002695	inactive rhomboid protein
OG0009827	circadian associated transcriptional repressor
OG0001923	iq and aaa domain containing protein
OG0002413	vesicle trafficking protein sec22b
OG0000653	g protein coupled receptor kinase
OG0005302	e3 ubiquitin protein ligase sh3rf1
OG0008631	coiled coil alpha helical rod protein
OG0003254	ras c3 botulinum toxin substrate
OG0013717	protein sco 1 mitochondrial
OG0012479	a kinase anchor protein
OG0004980	er membrane protein complex subunit
OG0003884	histidine rich glycoprotein
OG0000493	thioredoxin domain containing protein
OG0006698	bifunctional peptidase and arginyl hydroxylase jmjd
OG0015473	pdz and lim domain protein
OG0012431	morc family cw type zinc finger protein
OG0015080	endogenous retrovirus group fc env polyprotein
OG0000024	actin cytoplasmic
OG0014320	low affinity immunoglobulin gamma fc region receptor iii
OG0005744	28s rrna cytosine c 5 methyltransferase
OG0009235	unknown sequence family
OG0000860	dual specificity protein phosphatase 1
OG0014227	sodium potassium transporting atpase subunit beta interacting protein
OG0009459	diacylglycerol kinase
OG0008411	cortexin protein
OG0014909	non histone chromosomal protein hmg
OG0011908	tyrosine protein phosphatase non receptor type
OG0008669	zinc finger and btb domain containing protein
OG0012833	zinc finger protein
OG0014096	alanine and arginine rich domain containing protein
OG0014093	xk protein
OG0009516	ph and sec domain containing protein
OG0009016	polyprenal reductase
OG0006413	c maf inducing protein
OG0012385	keratin associated protein
OG0006805	fad linked sulfhydryl oxidase
OG0012802	adenosine 3 phospho 5 phosphosulfate transporter
OG0005575	acetyl coenzyme a thioesterase
OG0005771	potassium channel subfamily k member
OG0005758	abc transporter b family member
OG0006768	ankyrin repeat and sam domain containing protein
OG0013692	homeobox protein mox
OG0001258	dual specificity tyrosine phosphorylation regulated kinase
OG0009555	malignant fibrous histiocytoma amplified sequence
OG0004905	enoyl coa hydratase protein 2 mitochondrial
OG0003068	vacuolar atpase assembly integral membrane protein vma
OG0007602	kynurenine formamidase
OG0005404	transmembrane protein 200a
OG0014973	late cornified envelope protein 7a
OG0014294	iq domain containing protein
OG0005027	ribosome biogenesis protein nop
OG0006998	integrator complex subunit
OG0007358	snrna activating protein complex subunit
OG0014565	dual specificity protein phosphatase
OG0003098	olfactory receptor
OG0014076	secreted frizzled protein
OG0002616	sperm associated antigen
OG0008592	ras protein rab
OG0004238	retbindin
OG0012804	synaptonemal complex protein
OG0006421	vacuolar fusion protein mon
OG0006332	nad kinase 2
OG0001808	protein sprouty
OG0004933	ring finger protein
OG0003451	protein unc d
OG0007689	saga associated factor
OG0010188	cyclin 1
OG0001469	ankyrin repeat domain containing protein
OG0001558	homeobox protein meis
OG0004108	cytokine receptor common subunit gamma
OG0002280	activator of kda heat shock protein atpase
OG0004446	kallikrein peptidase
OG0000419	v type proton atpase subunit g
OG0002172	ruvb protein
OG0003302	transforming growth factor beta regulator
OG0013516	dynactin associated protein
OG0003314	dual specificity calcium calmodulin dependent 3 5 cyclic nucleotide phosphodiesterase
OG0014893	serine arginine repetitive matrix protein
OG0014221	calcium transporting atpase 10 plasma membrane
OG0010324	proline rich transmembrane protein
OG0011396	cathepsin b cysteine proteinase
OG0006298	transcription elongation factor a n terminal and central domain containing protein
OG0011640	protein sfi
OG0014747	zinc finger protein
OG0006999	protein 2 denticleless
OG0015311	olfactory receptor protein
OG0011041	acetyl coenzyme a transporter
OG0000018	histone h2a type 1
OG0015280	acidic leucine rich nuclear phosphoprotein family member
OG0015261	transmembrane protease serine
OG0012975	sperm associated antigen protein
OG0014924	potassium channel subfamily k member
OG0001272	cysteine desulfurase iscs
OG0006473	capping protein arp 3 and myosin i linker
OG0014104	coiled coil domain containing protein
OG0010181	transitional endoplasmic reticulum atpase
OG0004191	pituitary specific positive transcription factor
OG0002576	olfactory receptor protein
OG0009239	axonemal dynein light intermediate polypeptide
OG0002795	tropomyosin alpha chain
OG0014464	olfactory receptor protein
OG0007138	ap complex accessory subunit rusc
OG0014925	calcium binding protein
OG0014258	unknown sequence family
OG0003941	embryonic testis differentiation protein
OG0006173	slp adapter and csk interacting membrane protein
OG0002608	nephrin
OG0001547	ccr not transcription complex subunit
OG0006215	phosphoribosylformylglycinamidine synthase
OG0011719	wash complex subunit
OG0009705	atlastin
OG0000041	vomeronasal type receptor
OG0007273	capping protein arp 3 and myosin i linker
OG0009117	neurexophilin
OG0003131	general transcription and factor iih subunit
OG0001697	dc stamp domain containing protein
OG0014200	s methyl thioadenosine phosphorylase
OG0008683	mitochondrial carrier
OG0014589	cytochrome p450
OG0012414	protein mis alpha
OG0014338	small integral membrane protein
OG0007345	proteasome subunit alpha
OG0001769	adapter molecule crk
OG0005625	dna polymerase gamma
OG0011754	mitochondrial prohibitin protein
OG0012714	sodium hydrogen exchanger
OG0014013	melanoma associated antigen
OG0009188	e3 ubiquitin protein ligase rnf
OG0006379	malonate coa ligase acsf mitochondrial
OG0004765	serine threonine protein kinase sgk
OG0015296	olfactory receptor
OG0000332	oligosaccharyltransferase complex subunit ostc
OG0013404	nuclear envelope pore membrane protein pom
OG0013910	piwi protein
OG0011180	ubiquinol cytochrome c reductase complex assembly factor
OG0012145	cysteine rich secretory protein lccl domain containing
OG0007803	e3 ubiquitin protein ligase rnf
OG0012080	unknown sequence family
OG0014884	oocyte secreted protein
OG0011573	serine arginine repetitive matrix protein
OG0007739	male specific lethal
OG0007783	spermatogenesis associated protein
OG0000068	olfactory receptor 2b6
OG0005556	calpastatin
OG0003579	e3 ubiquitin protein ligase rnf
OG0007826	unknown sequence family
OG0008279	protein unc
OG0008719	cullin
OG0009802	wd repeat containing protein
OG0013658	scavenger receptor cysteine rich domain containing protein
OG0006767	zinc finger and scan protein
OG0004634	tumor necrosis factor
OG0009841	vacuolar protein sorting associated
OG0008975	cytochrome c1 1 heme protein mitochondrial
